Benchmark;Mode;Threads;Samples;Score;Score Error (99,9%);Unit;Param: expectedElementsCount
com.algo.structure.GenericBloomFilterBenchmark.benchmarkMemoryUsage;avgt;1;5;206,184068;13,772302;us/op;100
com.algo.structure.GenericBloomFilterBenchmark.benchmarkMemoryUsage;avgt;1;5;295,572204;28,773373;us/op;1000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkMemoryUsage;avgt;1;5;413,732871;68,615544;us/op;2000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkMemoryUsage;avgt;1;5;742,952707;128,323506;us/op;5000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkMemoryUsage;avgt;1;5;1258,877659;187,232841;us/op;10000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkMemoryUsage;avgt;1;5;2725,708294;170,441312;us/op;25000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkMemoryUsage;avgt;1;5;5261,602192;606,693886;us/op;50000
com.algo.structure.GenericBloomFilterBenchmark.benchmarkMemoryUsage;avgt;1;5;9813,892252;518,743436;us/op;100000
com.algo.structure.BloomFilterBenchmark.benchmarkAddOperation;ss;1;5;128,84;629,081597;us/op;10
com.algo.structure.BloomFilterBenchmark.benchmarkAddOperation;ss;1;5;71,04;75,835497;us/op;25
com.algo.structure.BloomFilterBenchmark.benchmarkAddOperation;ss;1;5;115,2;194,003107;us/op;50
com.algo.structure.BloomFilterBenchmark.benchmarkAddOperation;ss;1;5;107,2;88,706585;us/op;100
com.algo.structure.BloomFilterBenchmark.benchmarkAddOperation;ss;1;5;382,64;504,859921;us/op;1000
com.algo.structure.BloomFilterBenchmark.benchmarkAddOperation;ss;1;5;443,98;707,698407;us/op;2000
com.algo.structure.BloomFilterBenchmark.benchmarkAddOperation;ss;1;5;706,92;338,382267;us/op;5000
com.algo.structure.BloomFilterBenchmark.benchmarkAddOperation;ss;1;5;1187,58;581,278035;us/op;10000
com.algo.structure.BloomFilterBenchmark.benchmarkAddOperation;ss;1;5;2378,52;313,949874;us/op;25000
com.algo.structure.BloomFilterBenchmark.benchmarkAddOperation;ss;1;5;6508,14;5382,593947;us/op;50000
com.algo.structure.BloomFilterBenchmark.benchmarkAddOperation;ss;1;5;13051,34;2542,744905;us/op;100000
com.algo.structure.BloomFilterBenchmark.benchmarkContainsExisting;ss;1;5;20,94;81,283527;us/op;10
com.algo.structure.BloomFilterBenchmark.benchmarkContainsExisting;ss;1;5;26,8;26,920105;us/op;25
